Type,Scenario,Adjudicator,Adjudicator_Type,ReadingLevel,A1 Score,A2 Score,Comments,Extracted Value Score
Simulated,18,KA,Expert,5th Grade,5,4,"This patient could be a candidate for EVAR which is an alternative to open repair performed variously by surgeons and interventional radiologists, depending on the hospital. If EVAR is performed by a surgeon in the given hospital, “no surgery” seems premature, but EVAR is instead performed by interventional radiologists in the given hospital, “no surgery” makes sense and the patient should be referred for that.",NA
Simulated,18,KA,Expert,8th/9th Grade,5,4,,NA
Simulated,18,KA,Expert,College Level,5,4,"Quotidian. Vicissitudes. If anyone used these words in a discussion about end-of-life care with me, I would wonder whether they were thinking about their patient, or whether they were distracted by some piece of 400-year-old literature they’d recently read. I would guess that they came from extreme wealth, and I want to never talk to them again, and yet I would continue talking to them out of a feeling that I had little choice in the matter. The prospect of death is a huge cognitive load, making plain language appropriate and effective (and also less alienating).",NA
Simulated,19,KA,Expert,5th Grade,5,5,,NA
Simulated,19,KA,Expert,8th/9th Grade,5,5,"This patient is probably not responsible for their own meals or transportation, making this part about commitment immaterial.",NA
Simulated,19,KA,Expert,College Level,5,5,,NA
Simulated,20,KA,Expert,5th Grade,5,5,,NA
Simulated,20,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,20,KA,Expert,College Level,5,5,,NA
Simulated,21,KA,Expert,5th Grade,5,5,,NA
Simulated,21,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,21,KA,Expert,College Level,5,5,,NA
Simulated,22,KA,Expert,5th Grade,5,5,,NA
Simulated,22,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,22,KA,Expert,College Level,5,5,,NA
Simulated,23,KA,Expert,5th Grade,5,5,,NA
Simulated,23,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,23,KA,Expert,College Level,5,1,"This patient is intubated, making conversation infeasible, even if they did not have severe brain injury.",NA
Simulated,24,KA,Expert,5th Grade,5,5,,NA
Simulated,24,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,24,KA,Expert,College Level,5,5,,NA
Simulated,25,KA,Expert,5th Grade,1,5,This patient chose to wear the pendant.,NA
Simulated,25,KA,Expert,8th/9th Grade,1,5,,NA
Simulated,25,KA,Expert,College Level,5,1,"Apart from any consideration of the patient’s values, a patient with a ruptured aortic aneurysm that we expect would respond to blood products should be transfused. Incidentally, this is another case where EVAR might be a possibility.",NA
Simulated,26,KA,Expert,5th Grade,5,5,,NA
Simulated,26,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,26,KA,Expert,College Level,5,5,"It seemed like his only real health problem was his Alzheimer’s, which was early. I have seen patients ask for an ostomy because the risk of the surgery seems lower than the risk of eventually dying from a necrotizing soft tissue infection, not to mention that it sucks having to be turned over and cleaned up after every bowel movement. I think an ostomy in this situation is the less undignified option. I am not sure this is a close call.",NA
Simulated,27,KA,Expert,5th Grade,4,1,"There is nuance here that might not addressed by the patient’s statement. When people say they don’t want to go on dialysis, they often mean they don’t want to spend many hours a day a few days a week in a dialysis chair for what might be the rest of their life, getting stuck through a possibly grotesque-appearing aneurysmal arteriovenous fistula. That is permanent dialysis, rather than the temporary dialysis proposed for this question. Months are needed to determine the extent of recovery of renal function following acute kidney injury, and whether the need for dialysis will become permanent.",NA
Simulated,27,KA,Expert,8th/9th Grade,4,1,,NA
Simulated,27,KA,Expert,College Level,4,1,,NA
Simulated,28,KA,Expert,5th Grade,4,5,,NA
Simulated,28,KA,Expert,8th/9th Grade,2,1,"A lot of patients in this age range who present with vague pain are already thinking about cancer and surgery, to the point that I assume some degree of interest in therapy simply by their decision to show up. I would get a translator (not the son) and ask her what she thought was happening, and what she was afraid of, and she would probably bring up cancer herself. I might explain that dying from untreated disease would be more distressful and painful in some ways than this surgery. ",NA
Simulated,28,KA,Expert,College Level,2,1,,NA
Simulated,29,KA,Expert,5th Grade,5,5,"It doesn’t sound like TURP is even on the table and surgeons can’t be compelled to cut if they think it’s not warranted. In this case, it’d probably result in a patient not just dying, but dying with a little discomfort. I think that compared to SPC, TURP requires heavier anesthesia, which is risky in this patient.",NA
Simulated,29,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,29,KA,Expert,College Level,5,5,I assume this refers to SPC (intervention is given as SPC vs. TURP).,NA
Simulated,30,KA,Expert,5th Grade,5,1,"It doesn’t appear that she was on oxygen when this happened. She might be having a COPD exacerbation that could be treated with antibiotics and steroids, and could go on living for years afterwards.",NA
Simulated,30,KA,Expert,8th/9th Grade,5,1,,NA
Simulated,30,KA,Expert,College Level,5,1,,NA
Simulated,31,KA,Expert,5th Grade,5,5,,NA
Simulated,31,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,31,KA,Expert,College Level,5,5,,NA
Simulated,32,KA,Expert,5th Grade,5,5,,NA
Simulated,32,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,32,KA,Expert,College Level,5,5,,NA
Simulated,33,KA,Expert,5th Grade,5,5,,NA
Simulated,33,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,33,KA,Expert,College Level,5,5,,NA
Simulated,34,KA,Expert,5th Grade,5,5,This patient is acutely septic. I doubt they would be offered chemoradiation or radical surgery,NA
Simulated,34,KA,Expert,8th/9th Grade,5,5,,NA
Simulated,34,KA,Expert,College Level,5,5,,NA
Simulated,35,KA,Expert,5th Grade,5,1,"Even if Samatha is correct, I would guess that in all (or nearly all) US states, law would make the family’s wishes binding. Ideally someone would sit down with them all to address these discrepancies.",NA
Simulated,35,KA,Expert,8th/9th Grade,5,1,,NA
Simulated,35,KA,Expert,College Level,5,1,,NA
Simulated,1,NB,Expert,5th Grade,4,4,,NA
Simulated,1,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,1,NB,Expert,College Level,4,4,,NA
Simulated,2,NB,Expert,5th Grade,2,2,,NA
Simulated,2,NB,Expert,8th/9th Grade,2,2,,NA
Simulated,2,NB,Expert,College Level,2,2,,NA
Simulated,3,NB,Expert,5th Grade,4,3,,NA
Simulated,3,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,3,NB,Expert,College Level,4,3,,NA
Simulated,4,NB,Expert,5th Grade,3,3,,NA
Simulated,4,NB,Expert,8th/9th Grade,3,3,,NA
Simulated,4,NB,Expert,College Level,3,3,,NA
Simulated,5,NB,Expert,5th Grade,4,3,,NA
Simulated,5,NB,Expert,8th/9th Grade,3,3,,NA
Simulated,5,NB,Expert,College Level,4,3,,NA
Simulated,6,NB,Expert,5th Grade,4,3,,NA
Simulated,6,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,6,NB,Expert,College Level,4,3,,NA
Simulated,7,NB,Expert,5th Grade,4,3,,NA
Simulated,7,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,7,NB,Expert,College Level,4,3,,NA
Simulated,8,NB,Expert,5th Grade,4,4,,NA
Simulated,8,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,8,NB,Expert,College Level,4,4,,NA
Simulated,9,NB,Expert,5th Grade,2,4,,NA
Simulated,9,NB,Expert,8th/9th Grade,2,4,,NA
Simulated,9,NB,Expert,College Level,2,4,,NA
Simulated,10,NB,Expert,5th Grade,4,4,,NA
Simulated,10,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,10,NB,Expert,College Level,4,4,,NA
Simulated,11,NB,Expert,5th Grade,4,4,,NA
Simulated,11,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,11,NB,Expert,College Level,4,4,,NA
Simulated,12,NB,Expert,5th Grade,4,3,,NA
Simulated,12,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,12,NB,Expert,College Level,4,3,,NA
Simulated,13,NB,Expert,5th Grade,2,3,,NA
Simulated,13,NB,Expert,8th/9th Grade,2,3,,NA
Simulated,13,NB,Expert,College Level,2,3,,NA
Simulated,14,NB,Expert,5th Grade,4,4,,NA
Simulated,14,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,14,NB,Expert,College Level,4,4,,NA
Simulated,15,NB,Expert,5th Grade,4,4,,NA
Simulated,15,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,15,NB,Expert,College Level,4,4,,NA
Simulated,16,NB,Expert,5th Grade,4,2,,NA
Simulated,16,NB,Expert,8th/9th Grade,4,2,,NA
Simulated,16,NB,Expert,College Level,4,2,,NA
Simulated,17,NB,Expert,5th Grade,4,3,,NA
Simulated,17,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,17,NB,Expert,College Level,4,3,,NA
Simulated,18,NB,Expert,5th Grade,2,3,,NA
Simulated,18,NB,Expert,8th/9th Grade,2,3,,NA
Simulated,18,NB,Expert,College Level,2,3,,NA
Simulated,19,NB,Expert,5th Grade,4,3,,NA
Simulated,19,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,19,NB,Expert,College Level,4,3,,NA
Simulated,20,NB,Expert,5th Grade,4,4,,NA
Simulated,20,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,20,NB,Expert,College Level,4,4,,NA
Simulated,21,NB,Expert,5th Grade,4,4,,NA
Simulated,21,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,21,NB,Expert,College Level,4,4,,NA
Simulated,22,NB,Expert,5th Grade,4,4,,NA
Simulated,22,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,22,NB,Expert,College Level,4,4,,NA
Simulated,23,NB,Expert,5th Grade,2,3,,NA
Simulated,23,NB,Expert,8th/9th Grade,2,3,,NA
Simulated,23,NB,Expert,College Level,2,3,,NA
Simulated,24,NB,Expert,5th Grade,4,4,,NA
Simulated,24,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,24,NB,Expert,College Level,4,4,,NA
Simulated,25,NB,Expert,5th Grade,3,3,,NA
Simulated,25,NB,Expert,8th/9th Grade,3,3,,NA
Simulated,25,NB,Expert,College Level,3,3,,NA
Simulated,26,NB,Expert,5th Grade,3,2,,NA
Simulated,26,NB,Expert,8th/9th Grade,3,2,,NA
Simulated,26,NB,Expert,College Level,3,2,,NA
Simulated,27,NB,Expert,5th Grade,4,4,,NA
Simulated,27,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,27,NB,Expert,College Level,4,4,,NA
Simulated,28,NB,Expert,5th Grade,2,4,,NA
Simulated,28,NB,Expert,8th/9th Grade,2,4,,NA
Simulated,28,NB,Expert,College Level,2,4,,NA
Simulated,29,NB,Expert,5th Grade,4,4,,NA
Simulated,29,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,29,NB,Expert,College Level,4,4,,NA
Simulated,30,NB,Expert,5th Grade,4,3,,NA
Simulated,30,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,30,NB,Expert,College Level,4,3,,NA
Simulated,31,NB,Expert,5th Grade,4,4,,NA
Simulated,31,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,31,NB,Expert,College Level,4,4,,NA
Simulated,32,NB,Expert,5th Grade,3,4,,NA
Simulated,32,NB,Expert,8th/9th Grade,3,4,,NA
Simulated,32,NB,Expert,College Level,3,4,,NA
Simulated,33,NB,Expert,5th Grade,4,3,,NA
Simulated,33,NB,Expert,8th/9th Grade,4,3,,NA
Simulated,33,NB,Expert,College Level,4,3,,NA
Simulated,34,NB,Expert,5th Grade,4,4,,NA
Simulated,34,NB,Expert,8th/9th Grade,4,4,,NA
Simulated,34,NB,Expert,College Level,4,4,,NA
Simulated,35,NB,Expert,5th Grade,3,3,,NA
Simulated,35,NB,Expert,8th/9th Grade,3,3,,NA
Simulated,35,NB,Expert,College Level,3,3,,NA
Simulated,1,PH,Expert,5th Grade,5,5,,NA
Simulated,1,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,1,PH,Expert,College Level,1,1,,NA
Simulated,2,PH,Expert,5th Grade,4,2,,NA
Simulated,2,PH,Expert,8th/9th Grade,4,2,,NA
Simulated,2,PH,Expert,College Level,5,2,,NA
Simulated,3,PH,Expert,5th Grade,4,3,,NA
Simulated,3,PH,Expert,8th/9th Grade,4,3,,NA
Simulated,3,PH,Expert,College Level,4,3,,NA
Simulated,4,PH,Expert,5th Grade,4,1,,NA
Simulated,4,PH,Expert,8th/9th Grade,4,1,,NA
Simulated,4,PH,Expert,College Level,5,1,,NA
Simulated,5,PH,Expert,5th Grade,5,3,,NA
Simulated,5,PH,Expert,8th/9th Grade,2,3,,NA
Simulated,5,PH,Expert,College Level,5,3,,NA
Simulated,6,PH,Expert,5th Grade,2,4,,NA
Simulated,6,PH,Expert,8th/9th Grade,4,4,,NA
Simulated,6,PH,Expert,College Level,4,4,,NA
Simulated,7,PH,Expert,5th Grade,5,5,,NA
Simulated,7,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,7,PH,Expert,College Level,5,5,,NA
Simulated,8,PH,Expert,5th Grade,5,5,,NA
Simulated,8,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,8,PH,Expert,College Level,5,5,,NA
Simulated,9,PH,Expert,5th Grade,5,5,,NA
Simulated,9,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,9,PH,Expert,College Level,5,5,,NA
Simulated,10,PH,Expert,5th Grade,5,5,,NA
Simulated,10,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,10,PH,Expert,College Level,5,5,,NA
Simulated,11,PH,Expert,5th Grade,5,5,,NA
Simulated,11,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,11,PH,Expert,College Level,5,5,,NA
Simulated,12,PH,Expert,5th Grade,3,3,,NA
Simulated,12,PH,Expert,8th/9th Grade,3,3,,NA
Simulated,12,PH,Expert,College Level,4,3,,NA
Simulated,13,PH,Expert,5th Grade,5,5,,NA
Simulated,13,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,13,PH,Expert,College Level,5,5,,NA
Simulated,14,PH,Expert,5th Grade,5,4,,NA
Simulated,14,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,14,PH,Expert,College Level,5,5,,NA
Simulated,15,PH,Expert,5th Grade,5,4,,NA
Simulated,15,PH,Expert,8th/9th Grade,5,4,,NA
Simulated,15,PH,Expert,College Level,5,4,,NA
Simulated,16,PH,Expert,5th Grade,5,5,,NA
Simulated,16,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,16,PH,Expert,College Level,5,5,,NA
Simulated,17,PH,Expert,5th Grade,3,4,,NA
Simulated,17,PH,Expert,8th/9th Grade,3,4,,NA
Simulated,17,PH,Expert,College Level,3,4,,NA
Simulated,18,PH,Expert,5th Grade,4,5,,NA
Simulated,18,PH,Expert,8th/9th Grade,4,5,,NA
Simulated,18,PH,Expert,College Level,4,5,,NA
Simulated,19,PH,Expert,5th Grade,2,2,,NA
Simulated,19,PH,Expert,8th/9th Grade,3,2,,NA
Simulated,19,PH,Expert,College Level,3,2,,NA
Simulated,20,PH,Expert,5th Grade,5,5,,NA
Simulated,20,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,20,PH,Expert,College Level,5,5,,NA
Simulated,21,PH,Expert,5th Grade,4,4,,NA
Simulated,21,PH,Expert,8th/9th Grade,4,4,,NA
Simulated,21,PH,Expert,College Level,4,4,,NA
Simulated,22,PH,Expert,5th Grade,4,2,,NA
Simulated,22,PH,Expert,8th/9th Grade,4,2,,NA
Simulated,22,PH,Expert,College Level,4,2,,NA
Simulated,23,PH,Expert,5th Grade,5,5,,NA
Simulated,23,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,23,PH,Expert,College Level,5,1,,NA
Simulated,24,PH,Expert,5th Grade,5,5,,NA
Simulated,24,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,24,PH,Expert,College Level,5,5,,NA
Simulated,25,PH,Expert,5th Grade,5,3,,NA
Simulated,25,PH,Expert,8th/9th Grade,5,3,,NA
Simulated,25,PH,Expert,College Level,5,5,,NA
Simulated,26,PH,Expert,5th Grade,5,4,,NA
Simulated,26,PH,Expert,8th/9th Grade,5,4,,NA
Simulated,26,PH,Expert,College Level,5,4,,NA
Simulated,27,PH,Expert,5th Grade,5,2,,NA
Simulated,27,PH,Expert,8th/9th Grade,5,2,,NA
Simulated,27,PH,Expert,College Level,5,3,,NA
Simulated,28,PH,Expert,5th Grade,5,5,,NA
Simulated,28,PH,Expert,8th/9th Grade,2,1,,NA
Simulated,28,PH,Expert,College Level,2,1,,NA
Simulated,29,PH,Expert,5th Grade,4,4,,NA
Simulated,29,PH,Expert,8th/9th Grade,4,4,,NA
Simulated,29,PH,Expert,College Level,5,4,,NA
Simulated,30,PH,Expert,5th Grade,5,3,,NA
Simulated,30,PH,Expert,8th/9th Grade,5,3,,NA
Simulated,30,PH,Expert,College Level,5,3,,NA
Simulated,31,PH,Expert,5th Grade,5,5,,NA
Simulated,31,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,31,PH,Expert,College Level,5,5,,NA
Simulated,32,PH,Expert,5th Grade,4,5,,NA
Simulated,32,PH,Expert,8th/9th Grade,4,5,,NA
Simulated,32,PH,Expert,College Level,5,5,,NA
Simulated,33,PH,Expert,5th Grade,5,5,,NA
Simulated,33,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,33,PH,Expert,College Level,5,5,,NA
Simulated,34,PH,Expert,5th Grade,5,5,,NA
Simulated,34,PH,Expert,8th/9th Grade,5,5,,NA
Simulated,34,PH,Expert,College Level,5,5,,NA
Simulated,35,PH,Expert,5th Grade,5,4,,NA
Simulated,35,PH,Expert,8th/9th Grade,5,4,,NA
Simulated,35,PH,Expert,College Level,5,4,,NA
Simulated,1,AK,Student,5th Grade,5,4,,NA
Simulated,1,AK,Student,8th/9th Grade,5,4,,NA
Simulated,1,AK,Student,College Level,2,2,,NA
Simulated,2,AK,Student,5th Grade,5,4,,NA
Simulated,2,AK,Student,8th/9th Grade,5,5,,NA
Simulated,2,AK,Student,College Level,5,5,,NA
Simulated,3,AK,Student,5th Grade,4,4,,NA
Simulated,3,AK,Student,8th/9th Grade,5,4,,NA
Simulated,3,AK,Student,College Level,5,3,,NA
Simulated,4,AK,Student,5th Grade,4,2,,NA
Simulated,4,AK,Student,8th/9th Grade,5,2,,NA
Simulated,4,AK,Student,College Level,4,2,,NA
Simulated,5,AK,Student,5th Grade,4,1,,NA
Simulated,5,AK,Student,8th/9th Grade,2,4,,NA
Simulated,5,AK,Student,College Level,4,1,,NA
Simulated,6,AK,Student,5th Grade,5,4,,NA
Simulated,6,AK,Student,8th/9th Grade,4,4,,NA
Simulated,6,AK,Student,College Level,5,4,,NA
Simulated,7,AK,Student,5th Grade,4,4,,NA
Simulated,7,AK,Student,8th/9th Grade,5,5,,NA
Simulated,7,AK,Student,College Level,4,4,,NA
Simulated,8,AK,Student,5th Grade,5,4,,NA
Simulated,8,AK,Student,8th/9th Grade,5,4,,NA
Simulated,8,AK,Student,College Level,3,4,,NA
Simulated,9,AK,Student,5th Grade,5,4,,NA
Simulated,9,AK,Student,8th/9th Grade,5,4,,NA
Simulated,9,AK,Student,College Level,5,4,,NA
Simulated,10,AK,Student,5th Grade,5,4,,NA
Simulated,10,AK,Student,8th/9th Grade,5,5,,NA
Simulated,10,AK,Student,College Level,5,5,,NA
Simulated,11,AK,Student,5th Grade,5,2,,NA
Simulated,11,AK,Student,8th/9th Grade,5,2,,NA
Simulated,11,AK,Student,College Level,5,4,,NA
Simulated,12,AK,Student,5th Grade,5,4,,NA
Simulated,12,AK,Student,8th/9th Grade,4,4,,NA
Simulated,12,AK,Student,College Level,5,4,,NA
Simulated,13,AK,Student,5th Grade,5,4,,NA
Simulated,13,AK,Student,8th/9th Grade,5,5,,NA
Simulated,13,AK,Student,College Level,5,5,,NA
Simulated,14,AK,Student,5th Grade,4,4,,NA
Simulated,14,AK,Student,8th/9th Grade,5,4,,NA
Simulated,14,AK,Student,College Level,5,4,,NA
Simulated,15,AK,Student,5th Grade,5,2,,NA
Simulated,15,AK,Student,8th/9th Grade,5,4,,NA
Simulated,15,AK,Student,College Level,5,2,,NA
Simulated,16,AK,Student,5th Grade,2,2,,NA
Simulated,16,AK,Student,8th/9th Grade,2,2,,NA
Simulated,16,AK,Student,College Level,1,2,,NA
Simulated,17,AK,Student,5th Grade,5,4,,NA
Simulated,17,AK,Student,8th/9th Grade,2,2,,NA
Simulated,17,AK,Student,College Level,5,5,,NA
Simulated,18,AK,Student,5th Grade,2,4,,NA
Simulated,18,AK,Student,8th/9th Grade,5,4,,NA
Simulated,18,AK,Student,College Level,1,4,,NA
Simulated,19,AK,Student,5th Grade,5,5,,NA
Simulated,19,AK,Student,8th/9th Grade,5,5,,NA
Simulated,19,AK,Student,College Level,5,5,,NA
Simulated,20,AK,Student,5th Grade,4,2,,NA
Simulated,20,AK,Student,8th/9th Grade,5,2,,NA
Simulated,20,AK,Student,College Level,5,2,,NA
Simulated,21,AK,Student,5th Grade,5,4,,NA
Simulated,21,AK,Student,8th/9th Grade,5,4,,NA
Simulated,21,AK,Student,College Level,5,4,,NA
Simulated,22,AK,Student,5th Grade,5,2,,NA
Simulated,22,AK,Student,8th/9th Grade,1,2,,NA
Simulated,22,AK,Student,College Level,5,2,,NA
Simulated,23,AK,Student,5th Grade,5,4,,NA
Simulated,23,AK,Student,8th/9th Grade,5,5,,NA
Simulated,23,AK,Student,College Level,5,5,,NA
Simulated,24,AK,Student,5th Grade,5,5,,NA
Simulated,24,AK,Student,8th/9th Grade,4,4,,NA
Simulated,24,AK,Student,College Level,5,4,,NA
Simulated,25,AK,Student,5th Grade,2,4,,NA
Simulated,25,AK,Student,8th/9th Grade,3,4,,NA
Simulated,25,AK,Student,College Level,4,2,,NA
Simulated,26,AK,Student,5th Grade,5,5,,NA
Simulated,26,AK,Student,8th/9th Grade,5,5,,NA
Simulated,26,AK,Student,College Level,5,5,,NA
Simulated,27,AK,Student,5th Grade,5,2,,NA
Simulated,27,AK,Student,8th/9th Grade,5,2,,NA
Simulated,27,AK,Student,College Level,5,4,,NA
Simulated,28,AK,Student,5th Grade,5,2,,NA
Simulated,28,AK,Student,8th/9th Grade,4,4,,NA
Simulated,28,AK,Student,College Level,5,4,,NA
Simulated,29,AK,Student,5th Grade,5,5,,NA
Simulated,29,AK,Student,8th/9th Grade,4,4,,NA
Simulated,29,AK,Student,College Level,5,5,,NA
Simulated,30,AK,Student,5th Grade,5,4,,NA
Simulated,30,AK,Student,8th/9th Grade,5,4,,NA
Simulated,30,AK,Student,College Level,5,4,,NA
Simulated,31,AK,Student,5th Grade,5,4,,NA
Simulated,31,AK,Student,8th/9th Grade,5,4,,NA
Simulated,31,AK,Student,College Level,5,4,,NA
Simulated,32,AK,Student,5th Grade,5,4,,NA
Simulated,32,AK,Student,8th/9th Grade,5,5,,NA
Simulated,32,AK,Student,College Level,5,5,,NA
Simulated,33,AK,Student,5th Grade,5,4,,NA
Simulated,33,AK,Student,8th/9th Grade,5,4,,NA
Simulated,33,AK,Student,College Level,5,4,,NA
Simulated,34,AK,Student,5th Grade,4,2,,NA
Simulated,34,AK,Student,8th/9th Grade,5,5,,NA
Simulated,34,AK,Student,College Level,4,2,,NA
Simulated,35,AK,Student,5th Grade,5,5,,NA
Simulated,35,AK,Student,8th/9th Grade,5,5,,NA
Simulated,35,AK,Student,College Level,5,5,,NA
Simulated,1,MSA,Student,5th Grade,4,4,,NA
Simulated,1,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,1,MSA,Student,College Level,4,3,,NA
Simulated,2,MSA,Student,5th Grade,5,4,,NA
Simulated,2,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,2,MSA,Student,College Level,5,4,,NA
Simulated,3,MSA,Student,5th Grade,5,4,,NA
